Student ID,Timestamp,Grade,Please select any of the following that apply to your request:,Drop/Add Course Pair #1 [Drop #1],Drop/Add Course Pair #1 [Add #1],Drop/Add Course Pair #1 [Alternate add #1a],Drop/Add Course Pair #1 [Alternate add #1b],Drop/Add Course Pair #2 [Drop #2],Drop/Add Course Pair #2 [Add #2],Drop/Add Course Pair #2 [Alternate add #2a],Drop/Add Course Pair #2 [Alternate add #2b],Drop/Add Course Pair #3 [Drop #3],Drop/Add Course Pair #3 [Add #3],Drop/Add Course Pair #3 [Alternate add #3a],Drop/Add Course Pair #3 [Alternate add #3b],Drop/Add Course Pair #4 [Drop #4],Drop/Add Course Pair #4 [Add #4],Drop/Add Course Pair #4 [Alternate add #4a],Drop/Add Course Pair #4 [Alternate add #4b],Drop/Add Course Pair #1 [Drop #1],Drop/Add Course Pair #1 [Add #1],Drop/Add Course Pair #1 [Alternate #1a],Drop/Add Course Pair #1 [Alternate #1b],Drop/Add Course Pair #2 [Drop #2],Drop/Add Course Pair #2 [Add #2],Drop/Add Course Pair #2 [Alternate #2a],Drop/Add Course Pair #2 [Alternate #2b],Drop/Add Course Pair #3 [Drop #3],Drop/Add Course Pair #3 [Add #3],Drop/Add Course Pair #3 [Alternate #3a],Drop/Add Course Pair #3 [Alternate #3b]
S137,10/29/2023 17:40:10,11,I have a block conflict (two classes that meet at the same time),SP3652 Navigating in Spanish II,CS4200/MA4200 Cryptography,MA4300 Combinatorics and Game Theory,,"PH3920 Waves Sound, and Optics",PH4120 Physics Core: E&M (Math Intensive) (*M*),"PH3920 Waves Sound, and Optics",,CS4020 Web Development,MA4044 Calculus II with AP Exam Prep,MA4046 Calculus II,MA4110 Foundations of Data Science,MA4046 Calculus II,MA4500 Graph Theory with REX Math,EN4600 Research Experience in the Humanities,MA4046 Calculus II,MU3500 Classical Piano and Guitar,AR4100 Drawing,AR4310 Digital Photography,DR4102 Theater Performance Workshop: Unacting and Movement,,,,,,,,
S159,10/29/2023 19:56:06,11,None of these apply,CS4320 Machine Learning,BI4140 Molecular & Cellular Biol,BI4110 Molecular Genetics (*R*),BI4160 Neuroscience (*R*),MA4300 Combinatorics and Game Theory,MA4230 Complex Systems and Modern Networks,MA4300 Combinatorics and Game Theory,MA4300 Combinatorics and Game Theory,,,,,,,,,,,,,,,,,,,,
S230,10/27/2023 9:46:30,11,None of these apply,EE4180 Environmental Engineering,SP3052 Journeys in Spanish II,BI3700 Evolution,,,,,,,,,,,,,,,,,,,,,,,,,
S160,10/22/2023 23:53:10,11,None of these apply,EN4600 Research Experience in the Humanities,CH4130 Organic Chemistry,CS4320 Machine Learning,BI4140 Molecular & Cellular Biol,PH3500 Physics Core: Mechanics,CS4320 Machine Learning,BI4140 Molecular & Cellular Biol,BI4110 Molecular Genetics (*R*),,,,,,,,,,,,,,,,,,,,
S045,10/25/2023 19:35:15,11,None of these apply,BI3580 Classical Genetics (*M*),BI4010 Anatomy & Physiology,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),EE4520 Biomedical Instrumentation,,,,,,,,,,,,,,,,,,,,,,,,
S533,10/26/2023 11:23:12,12,None of these apply,MA4240 Numerical Analysis,SS4050 AP Psychology,BI4130 Aquatic Ecology (*R*),CH4280 Materials Chemistry (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S535,10/20/2023 13:24:56,12,"I am short scheduled (fewer than 5 core classes), I do not meet the pre-requisite for a class on my schedule",EE4560 Circuits,None - I'm short/over scheduled,,,None - I'm short/over scheduled,HU4480 Topics in American Studies: Asian American Studies,,,,,,,,,,,None,MU4100 Chorale,,,None,AR4520 Advanced Studio Art,,,,,,
S535,10/26/2023 9:52:13,12,None of these apply,EN4212 East Asian Studies II,HU4480 Topics in American Studies: Asian American Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
S536,10/27/2023 12:57:33,12,None of these apply,HU4461 Topics in Humanities II,EN4300 Creative Writing,HU4420 Digital Humanities,,HU4420 Digital Humanities,,,,,,,,,,,,,,,,,,,,,,,
S326,10/29/2023 11:48:29,11,None of these apply,MA4210 Topics in Civic Mathematics,MA4500 Graph Theory with REX Math,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),BI4200 Immunology (*R*),MA4044 Calculus II with AP Exam Prep,MA4046 Calculus II,,,EE4180 Environmental Engineering,CS4270 Fundamentals of Object-Oriented Design,"CS4070/AR4070 Art, Technology, and Computing",PH4150/EE4150 Elements of Satellite Design,PH4180 Astrophysics (*R*),PH4120 Physics Core: E&M (Math Intensive) (*M*),,,,,,,,,,,,,,
