Class,Course,Section,Course code,School level,Start term,Block,Max class size
AR4100 Drawing - AR4100-003,AR4100 Drawing,AR4100-003,AR4100,NCSSM Durham,2nd Semester,D135L,10
AR4110 Painting - AR4110-002,AR4110 Painting,AR4110-002,AR4110,NCSSM Durham,2nd Semester,G2L34,7
AR4310 Digital Photography - AR4310-003,AR4310 Digital Photography,AR4310-003,AR4310,NCSSM Durham,2nd Semester,H24,14
AR4310 Digital Photography - AR4310-004,AR4310 Digital Photography,AR4310-004,AR4310,NCSSM Durham,2nd Semester,H13,14
AR4500 Advanced Drawing - AR4500-001,AR4500 Advanced Drawing,AR4500-001,AR4500,NCSSM Durham,2nd Semester,D135L,5
AR4510 Advanced Painting - AR4510-001,AR4510 Advanced Painting,AR4510-001,AR4510,NCSSM Durham,2nd Semester,G2L34,5
AR4520 Advanced Studio Art - AR4520-002,AR4520 Advanced Studio Art,AR4520-002,AR4520,NCSSM Durham,2nd Semester,H2,10
AS4052 American Studies II - AS4052-001,AS4052 American Studies II,AS4052-001,AS4052,NCSSM Durham,2nd Semester,C13L45,14
AS4052 American Studies II - AS4052-002,AS4052 American Studies II,AS4052-002,AS4052,NCSSM Durham,2nd Semester,G12L34,14
AS4052 American Studies II - AS4052-003,AS4052 American Studies II,AS4052-003,AS4052,NCSSM Durham,2nd Semester,C13L45,14
AS4052 American Studies II - AS4052-004,AS4052 American Studies II,AS4052-004,AS4052,NCSSM Durham,2nd Semester,G12L34,14
AS4052 American Studies II - AS4052-005,AS4052 American Studies II,AS4052-005,AS4052,NCSSM Durham,2nd Semester,A12L45,14
AS4052 American Studies II - AS4052-006,AS4052 American Studies II,AS4052-006,AS4052,NCSSM Durham,2nd Semester,D1235L,14
AS4052 American Studies II - AS4052-007,AS4052 American Studies II,AS4052-007,AS4052,NCSSM Durham,2nd Semester,E123L5,14
AS4052 American Studies II - AS4052-008,AS4052 American Studies II,AS4052-008,AS4052,NCSSM Durham,2nd Semester,D1235L,14
AS4052 American Studies II - AS4052-009,AS4052 American Studies II,AS4052-009,AS4052,NCSSM Durham,2nd Semester,E1235L,14
AS4052 American Studies II - AS4052-010,AS4052 American Studies II,AS4052-010,AS4052,NCSSM Durham,2nd Semester,B134L5,14
AS4052 American Studies II - AS4052-011,AS4052 American Studies II,AS4052-011,AS4052,NCSSM Durham,2nd Semester,E123L5,14
AS4052 American Studies II - AS4052-012,AS4052 American Studies II,AS4052-012,AS4052,NCSSM Durham,2nd Semester,E13L5L,14
AS4052 American Studies II - AS4052-013,AS4052 American Studies II,AS4052-013,AS4052,NCSSM Durham,2nd Semester,A12L45,14
AS4052 American Studies II - AS4052-014,AS4052 American Studies II,AS4052-014,AS4052,NCSSM Durham,2nd Semester,D1235L,14
AS4052 American Studies II - AS4052-015,AS4052 American Studies II,AS4052-015,AS4052,NCSSM Durham,2nd Semester,F1234L,14
AS4052 American Studies II - AS4052-016,AS4052 American Studies II,AS4052-016,AS4052,NCSSM Durham,2nd Semester,B134L5,14
AS4052 American Studies II - AS4052-017,AS4052 American Studies II,AS4052-017,AS4052,NCSSM Durham,2nd Semester,E123L5,14
AS4052 American Studies II - AS4052-018,AS4052 American Studies II,AS4052-018,AS4052,NCSSM Durham,2nd Semester,C13L45,14
AS4052 American Studies II - AS4052-019,AS4052 American Studies II,AS4052-019,AS4052,NCSSM Durham,2nd Semester,G12L34,14
AS4052 American Studies II - AS4052-020,AS4052 American Studies II,AS4052-020,AS4052,NCSSM Durham,2nd Semester,D1235L,14
AS4052 American Studies II - AS4052-021,AS4052 American Studies II,AS4052-021,AS4052,NCSSM Durham,2nd Semester,F1234L,14
AS4052 American Studies II - AS4052-022,AS4052 American Studies II,AS4052-022,AS4052,NCSSM Durham,2nd Semester,F1234L,14
AS4052 American Studies II - AS4052-023,AS4052 American Studies II,AS4052-023,AS4052,NCSSM Durham,2nd Semester,E1235L,14
AS4052 American Studies II - AS4052-024,AS4052 American Studies II,AS4052-024,AS4052,NCSSM Durham,2nd Semester,F1234L,14
AS4052 American Studies II - AS4052-025,AS4052 American Studies II,AS4052-025,AS4052,NCSSM Durham,2nd Semester,A12L45,14
AS4052 American Studies II - AS4052-026,AS4052 American Studies II,AS4052-026,AS4052,NCSSM Durham,2nd Semester,C13L45,14
BI3580 Classical Genetics (*M*) - BI3580-001,BI3580 Classical Genetics (*M*),BI3580-001,BI3580,NCSSM Durham,2nd Semester,C13L45,20
BI3580 Classical Genetics (*M*) - BI3580-002,BI3580 Classical Genetics (*M*),BI3580-002,BI3580,NCSSM Durham,2nd Semester,E123L5,20
BI3700 Evolution - BI3700-002,BI3700 Evolution,BI3700-002,BI3700,NCSSM Durham,2nd Semester,A12L45,18
BI4010 Anatomy & Physiology - BI4010-004,BI4010 Anatomy & Physiology,BI4010-004,BI4010,NCSSM Durham,2nd Semester,B134L5,18
BI4010 Anatomy & Physiology - BI4010-005,BI4010 Anatomy & Physiology,BI4010-005,BI4010,NCSSM Durham,2nd Semester,F1234L,18
BI4030 Environmental Science (*R*) - BI4030-001,BI4030 Environmental Science (*R*),BI4030-001,BI4030,NCSSM Durham,2nd Semester,B134L5,20
BI4030 Environmental Science (*R*) - BI4030-002,BI4030 Environmental Science (*R*),BI4030-002,BI4030,NCSSM Durham,2nd Semester,F1234L,20
BI4110 Molecular Genetics (*R*) - BI4110-003,BI4110 Molecular Genetics (*R*),BI4110-003,BI4110,NCSSM Durham,2nd Semester,B134L5,18
BI4110 Molecular Genetics (*R*) - BI4110-004,BI4110 Molecular Genetics (*R*),BI4110-004,BI4110,NCSSM Durham,2nd Semester,F1234L,18
BI4130 Aquatic Ecology (*R*) - BI4130-001,BI4130 Aquatic Ecology (*R*),BI4130-001,BI4130,NCSSM Durham,2nd Semester,D1235L,20
BI4140 Molecular & Cellular Biol - BI4140-002,BI4140 Molecular & Cellular Biol,BI4140-002,BI4140,NCSSM Durham,2nd Semester,A12L45,18
BI4160 Neuroscience (*R*) - BI4160-001,BI4160 Neuroscience (*R*),BI4160-001,BI4160,NCSSM Durham,2nd Semester,A12L45,20
BI4160 Neuroscience (*R*) - BI4160-002,BI4160 Neuroscience (*R*),BI4160-002,BI4160,NCSSM Durham,2nd Semester,C13L45,20
BI4160 Neuroscience (*R*) - BI4160-003,BI4160 Neuroscience (*R*),BI4160-003,BI4160,NCSSM Durham,2nd Semester,G12L34,20
BI4200 Immunology (*R*) - BI4200-001,BI4200 Immunology (*R*),BI4200-001,BI4200,NCSSM Durham,2nd Semester,C13L45,20
BI4200 Immunology (*R*) - BI4200-002,BI4200 Immunology (*R*),BI4200-002,BI4200,NCSSM Durham,2nd Semester,E123L5,20
BI4211 AP Biology (II) (*R*) - BI4211-001,BI4211 AP Biology (II) (*R*),BI4211-001,BI4211,NCSSM Durham,2nd Semester,B134L5,22
BI4211 AP Biology (II) (*R*) - BI4211-002,BI4211 AP Biology (II) (*R*),BI4211-002,BI4211,NCSSM Durham,2nd Semester,D1235L,22
BI4921 Research in Biology II (*R*) - BI4921-001,BI4921 Research in Biology II (*R*),BI4921-001,BI4921,NCSSM Durham,2nd Semester,F1234LG12L34,6
BI4921 Research in Biology II (*R*) - BI4921-002,BI4921 Research in Biology II (*R*),BI4921-002,BI4921,NCSSM Durham,2nd Semester,F1234LG12L34,6
CH3500 Chemistry Core I - Atoms & Molecules - CH3500-004,CH3500 Chemistry Core I - Atoms & Molecules,CH3500-004,CH3500,NCSSM Durham,2nd Semester,A12L45,18
CH3500 Chemistry Core I - Atoms & Molecules - CH3500-005,CH3500 Chemistry Core I - Atoms & Molecules,CH3500-005,CH3500,NCSSM Durham,2nd Semester,G12L34,18
CH4000 Chemistry Core II - Reactions & Energy - CH4000-002,CH4000 Chemistry Core II - Reactions & Energy,CH4000-002,CH4000,NCSSM Durham,2nd Semester,B134L5,18
CH4000 Chemistry Core II - Reactions & Energy - CH4000-003,CH4000 Chemistry Core II - Reactions & Energy,CH4000-003,CH4000,NCSSM Durham,2nd Semester,F1234L,18
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) - CH4020-011,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),CH4020-011,CH4020,NCSSM Durham,2nd Semester,A12L45,18
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) - CH4020-012,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),CH4020-012,CH4020,NCSSM Durham,2nd Semester,C13L45,18
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) - CH4020-013,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),CH4020-013,CH4020,NCSSM Durham,2nd Semester,G12L34,18
CH4120 AP Chemistry (II): Kinetics & Energy - CH4120-003,CH4120 AP Chemistry (II): Kinetics & Energy,CH4120-003,CH4120,NCSSM Durham,2nd Semester,A12L45,18
CH4120 AP Chemistry (II): Kinetics & Energy - CH4120-004,CH4120 AP Chemistry (II): Kinetics & Energy,CH4120-004,CH4120,NCSSM Durham,2nd Semester,G12L34,18
CH4120 AP Chemistry (II): Kinetics & Energy - CH4120-005,CH4120 AP Chemistry (II): Kinetics & Energy,CH4120-005,CH4120,NCSSM Durham,2nd Semester,C13L45,18
CH4120 AP Chemistry (II): Kinetics & Energy - CH4120-006,CH4120 AP Chemistry (II): Kinetics & Energy,CH4120-006,CH4120,NCSSM Durham,2nd Semester,E123L5,18
CH4120 AP Chemistry (II): Kinetics & Energy - CH4120-007,CH4120 AP Chemistry (II): Kinetics & Energy,CH4120-007,CH4120,NCSSM Durham,2nd Semester,B134L5,18
CH4120 AP Chemistry (II): Kinetics & Energy - CH4120-008,CH4120 AP Chemistry (II): Kinetics & Energy,CH4120-008,CH4120,NCSSM Durham,2nd Semester,F1234L,18
CH4120 AP Chemistry (II): Kinetics & Energy - CH4120-009,CH4120 AP Chemistry (II): Kinetics & Energy,CH4120-009,CH4120,NCSSM Durham,2nd Semester,D1235L,18
CH4120 AP Chemistry (II): Kinetics & Energy - CH4120-010,CH4120 AP Chemistry (II): Kinetics & Energy,CH4120-010,CH4120,NCSSM Durham,2nd Semester,E1235L,18
CH4120 AP Chemistry (II): Kinetics & Energy - CH4120-011,CH4120 AP Chemistry (II): Kinetics & Energy,CH4120-011,CH4120,NCSSM Durham,2nd Semester,C13L45,18
CH4120 AP Chemistry (II): Kinetics & Energy - CH4120-012,CH4120 AP Chemistry (II): Kinetics & Energy,CH4120-012,CH4120,NCSSM Durham,2nd Semester,E123L5,18
CH4130 Organic Chemistry - CH4130-003,CH4130 Organic Chemistry,CH4130-003,CH4130,NCSSM Durham,2nd Semester,C13L45,18
CH4130 Organic Chemistry - CH4130-004,CH4130 Organic Chemistry,CH4130-004,CH4130,NCSSM Durham,2nd Semester,B134L5,18
"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells - CH4170/PH4170-001","CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",CH4170/PH4170-001,CH4170/PH4170,NCSSM Durham,2nd Semester,D1235L,18
CH4280 Materials Chemistry - CH4280-001,CH4280 Materials Chemistry,CH4280-001,CH4280,NCSSM Durham,2nd Semester,A12L45,18
CH4910 Research Computational Sci I (*R*) - CH4910-001,CH4910 Research Computational Sci I (*R*),CH4910-001,CH4910,NCSSM Durham,2nd Semester,G12L34,12
CH4921 Research Chem II (*R*) - CH4921-001,CH4921 Research Chem II (*R*),CH4921-001,CH4921,NCSSM Durham,2nd Semester,F1234LG12L34,8
CH4921 Research Chem II (*R*) - CH4921-002,CH4921 Research Chem II (*R*),CH4921-002,CH4921,NCSSM Durham,2nd Semester,F1234LG12L34,8
CN3052 Journeys into Chinese II - CN3052-001,CN3052 Journeys into Chinese II,CN3052-001,CN3052,NCSSM Durham,2nd Semester,C1345,20
CN3652 Navigating in Chinese + Global Understanding II - CN3652-002,CN3652 Navigating in Chinese + Global Understanding II,CN3652-002,CN3652,NCSSM Durham,2nd Semester,D1235L,30
CN3652 Navigating in Chinese + Global Understanding II - CN3652-003,CN3652 Navigating in Chinese + Global Understanding II,CN3652-003,CN3652,NCSSM Durham,2nd Semester,M12345,30
CN4052 Advanced Chinese II - CN4052-001,CN4052 Advanced Chinese II,CN4052-001,CN4052,NCSSM Durham,2nd Semester,A1245,30
CN4652 Readings in Chinese with Topics - CN4652-001,CN4652 Readings in Chinese with Topics,CN4652-001,CN4652,NCSSM Durham,2nd Semester,B1345,20
CN4852 AP Chinese Language and Culture II - CN4852-001,CN4852 AP Chinese Language and Culture II,CN4852-001,CN4852,NCSSM Durham,2nd Semester,B1345,20
CN4952 Advanced Readings in Chinese with Topics II - CN4952-001,CN4952 Advanced Readings in Chinese with Topics II,CN4952-001,CN4952,NCSSM Durham,2nd Semester,A1245,20
CS4020 Web Development - CS4020-002,CS4020 Web Development,CS4020-002,CS4020,NCSSM Durham,2nd Semester,A12L45,20
CS4040 Game Design and Simulation - CS4040-002,CS4040 Game Design and Simulation,CS4040-002,CS4040,NCSSM Durham,2nd Semester,C13L45,20
"CS4070/AR4070 Art, Technology, and Computing - CS4070/AR4070-001","CS4070/AR4070 Art, Technology, and Computing",CS4070/AR4070-001,CS4070/AR4070,NCSSM Durham,2nd Semester,E13L5L,16
CS4200/MA4200 Cryptography - CS4200/MA4200-002,CS4200/MA4200 Cryptography,CS4200/MA4200-002,CS4200/MA4200,NCSSM Durham,2nd Semester,G12L34,22
CS4200/MA4200 Cryptography - CS4200/MA4200-003,CS4200/MA4200 Cryptography,CS4200/MA4200-003,CS4200/MA4200,NCSSM Durham,2nd Semester,C13L45,22
CS4270 Fundamentals of Object-Oriented Design - CS4270-003,CS4270 Fundamentals of Object-Oriented Design,CS4270-003,CS4270,NCSSM Durham,2nd Semester,D1235L,20
CS4270 Fundamentals of Object-Oriented Design - CS4270-004,CS4270 Fundamentals of Object-Oriented Design,CS4270-004,CS4270,NCSSM Durham,2nd Semester,F1234L,20
CS4320 Machine Learning - CS4320-001,CS4320 Machine Learning,CS4320-001,CS4320,NCSSM Durham,2nd Semester,B134L5,20
DR4102 Theater Performance Workshop: Unacting and Movement - DR4102-001,DR4102 Theater Performance Workshop: Unacting and Movement,DR4102-001,DR4102,NCSSM Durham,2nd Semester,H3,20
EE4020 Electrical Engineering - EE4020-003,EE4020 Electrical Engineering,EE4020-003,EE4020,NCSSM Durham,2nd Semester,A12L45,20
EE4020 Electrical Engineering - EE4020-004,EE4020 Electrical Engineering,EE4020-004,EE4020,NCSSM Durham,2nd Semester,C13L45,20
EE4100 Introductory Robotics - EE4100-002,EE4100 Introductory Robotics,EE4100-002,EE4100,NCSSM Durham,2nd Semester,D1235L,16
EE4160 Civil Engineering - EE4160-001,EE4160 Civil Engineering,EE4160-001,EE4160,NCSSM Durham,2nd Semester,G12L4,10
EE4180 Environmental Engineering - EE4180-001,EE4180 Environmental Engineering,EE4180-001,EE4180,NCSSM Durham,2nd Semester,A12L45,20
EE4180 Environmental Engineering - EE4180-002,EE4180 Environmental Engineering,EE4180-002,EE4180,NCSSM Durham,2nd Semester,G12L34,20
EE4300 Topics In Engineering - Robotics Design - EE4300-001,EE4300 Topics In Engineering - Robotics Design,EE4300-001,EE4300,NCSSM Durham,2nd Semester,H24,10
EE4520 Biomedical Instrumentation - EE4520-001,EE4520 Biomedical Instrumentation,EE4520-001,EE4520,NCSSM Durham,2nd Semester,B134L5,12
EE4540 Statics - EE4540-001,EE4540 Statics,EE4540-001,EE4540,NCSSM Durham,2nd Semester,E13L5L,20
EE4560 Circuits - EE4560-001,EE4560 Circuits,EE4560-001,EE4560,NCSSM Durham,2nd Semester,D1235L,20
EN4210 African Studies: Modern Africa - EN4210-001,EN4210 African Studies: Modern Africa,EN4210-001,EN4210,NCSSM Durham,2nd Semester,E135L,20
EN4210 African Studies: Modern Africa - EN4210-002,EN4210 African Studies: Modern Africa,EN4210-002,EN4210,NCSSM Durham,2nd Semester,F134L,20
EN4212 East Asian Studies II - EN4212-001,EN4212 East Asian Studies II,EN4212-001,EN4212,NCSSM Durham,2nd Semester,D135L,20
EN4212 East Asian Studies II - EN4212-002,EN4212 East Asian Studies II,EN4212-002,EN4212,NCSSM Durham,2nd Semester,F134L,20
EN4242 Western European Cultural Studies II - EN4242-001,EN4242 Western European Cultural Studies II,EN4242-001,EN4242,NCSSM Durham,2nd Semester,H13,20
EN4300 Creative Writing - EN4300-002,EN4300 Creative Writing,EN4300-002,EN4300,NCSSM Durham,2nd Semester,A12L4,20
EN4300 Creative Writing - EN4300-003,EN4300 Creative Writing,EN4300-003,EN4300,NCSSM Durham,2nd Semester,G12L4,20
EN4440 Philosophy and Literature in the Twentieth Century - EN4440-001,EN4440 Philosophy and Literature in the Twentieth Century,EN4440-001,EN4440,NCSSM Durham,2nd Semester,H24,20
EN4470 STEM and the Stage - EN4470-002,EN4470 STEM and the Stage,EN4470-002,EN4470,NCSSM Durham,2nd Semester,E13L5,20
EN4481 Topics in Literature I - EN4481-001,EN4481 Topics in Literature I,EN4481-001,EN4481,NCSSM Durham,2nd Semester,E13L5,20
EN4483 Topics in Literature III - EN4483-002,EN4483 Topics in Literature III,EN4483-002,EN4483,NCSSM Durham,2nd Semester,A12L4,18
EN4600 Research Experience in the Humanities - EN4600-001,EN4600 Research Experience in the Humanities,EN4600-001,EN4600,NCSSM Durham,2nd Semester,H13,20
EN4600 Research Experience in the Humanities - EN4600-002,EN4600 Research Experience in the Humanities,EN4600-002,EN4600,NCSSM Durham,2nd Semester,H24,20
EN4600 Research Experience in the Humanities - EN4600-003,EN4600 Research Experience in the Humanities,EN4600-003,EN4600,NCSSM Durham,2nd Semester,F124L,20
EN4600 Research Experience in the Humanities - EN4600-004,EN4600 Research Experience in the Humanities,EN4600-004,EN4600,NCSSM Durham,2nd Semester,G12L4,20
FR3052 Journeys into French II - FR3052-001,FR3052 Journeys into French II,FR3052-001,FR3052,NCSSM Durham,2nd Semester,B1345,20
FR3652 Navigating in French II - FR3652-001,FR3652 Navigating in French II,FR3652-001,FR3652,NCSSM Durham,2nd Semester,D1235,30
FR4652 Modern French Readings and Media - FR4652-001,FR4652 Modern French Readings and Media,FR4652-001,FR4652,NCSSM Durham,2nd Semester,E13L5,30
HU4010 Applications in Entrepreneurship - HU4010-001,HU4010 Applications in Entrepreneurship,HU4010-001,HU4010,NCSSM Durham,2nd Semester,C3H1,24
"HU4300 Whose America? Immigrant Experiences, 1910-present - HU4300-002","HU4300 Whose America? Immigrant Experiences, 1910-present",HU4300-002,HU4300,NCSSM Durham,2nd Semester,C13L5,20
HU4400 Black Studies - HU4400-002,HU4400 Black Studies,HU4400-002,HU4400,NCSSM Durham,2nd Semester,B14L5,20
HU4411 Critical Legal Studies - HU4411-002,HU4411 Critical Legal Studies,HU4411-002,HU4411,NCSSM Durham,2nd Semester,B14L5,20
HU4420 Digital Humanities - HU4420-002,HU4420 Digital Humanities,HU4420-002,HU4420,NCSSM Durham,2nd Semester,D135L,20
HU4440 Film Studies - HU4440-002,HU4440 Film Studies,HU4440-002,HU4440,NCSSM Durham,2nd Semester,C13L5,20
HU4461 Topics in Humanities II - HU4461-001,HU4461 Topics in Humanities II,HU4461-001,HU4461,NCSSM Durham,2nd Semester,A12L4,20
