Student ID,School Level,School Year,Course Code,Course Title,Section,Term,Block,Enrolled
S008,NCSSM Durham,2023 - 2024,AR4100,AR4100 Drawing,AR4100-001,1st Semester,C13L5,1
S019,NCSSM Durham,2023 - 2024,AR4100,AR4100 Drawing,AR4100-002,1st Semester,E13L5,1
S062,NCSSM Durham,2023 - 2024,AR4100,AR4100 Drawing,AR4100-003,2nd Semester,D135L,1
S068,NCSSM Durham,2023 - 2024,AR4100,AR4100 Drawing,AR4100-003,2nd Semester,D135L,1
S118,NCSSM Durham,2023 - 2024,AR4100,AR4100 Drawing,AR4100-002,1st Semester,E13L5,1
S138,NCSSM Durham,2023 - 2024,AR4100,AR4100 Drawing,AR4100-002,1st Semester,E13L5,1
S154,NCSSM Durham,2023 - 2024,AR4100,AR4100 Drawing,AR4100-003,2nd Semester,D135L,1
S156,NCSSM Durham,2023 - 2024,AR4100,AR4100 Drawing,AR4100-003,2nd Semester,D135L,1
S156,NCSSM Durham,2023 - 2024,AR4100,AR4100 Drawing,AR4100-001,1st Semester,C13L5,1
S157,NCSSM Durham,2023 - 2024,AR4100,AR4100 Drawing,AR4100-003,2nd Semester,D135L,1
S221,NCSSM Durham,2023 - 2024,AR4100,AR4100 Drawing,AR4100-001,1st Semester,C13L5,1
S243,NCSSM Durham,2023 - 2024,AR4100,AR4100 Drawing,AR4100-001,1st Semester,C13L5,1
S250,NCSSM Durham,2023 - 2024,AR4100,AR4100 Drawing,AR4100-002,1st Semester,E13L5,1
S265,NCSSM Durham,2023 - 2024,AR4100,AR4100 Drawing,AR4100-002,1st Semester,E13L5,1
S318,NCSSM Durham,2023 - 2024,AR4100,AR4100 Drawing,AR4100-002,1st Semester,E13L5,1
S339,NCSSM Durham,2023 - 2024,AR4100,AR4100 Drawing,AR4100-001,1st Semester,C13L5,1
S345,NCSSM Durham,2023 - 2024,AR4100,AR4100 Drawing,AR4100-002,1st Semester,E13L5,1
S368,NCSSM Durham,2023 - 2024,AR4100,AR4100 Drawing,AR4100-002,1st Semester,E13L5,1
