Student ID,Placement 1,Placement 2,Year
S001,CH4020,PH4020,Junior
S002,CH4020,PH3500,Junior
S003,CH4020,PH4020,Junior
S004,CH4020,PH4020,Junior
S005,CH4020,,Junior
S006,CH4020,PH4020,Junior
S007,CH4020,PH4020,Junior
S008,CH3500,PH3500,Junior
S009,CH4020,PH4020,Junior
S010,CH4020,PH3500,Junior
S011,CH4020,PH3500,Junior
S012,CH3500,PH3500,Junior
S013,CH4020,PH4020,Junior
S014,CH4020,PH4020,Junior
S015,CH3500,PH3500,Junior
S016,CH4020,PH4020,Junior
S017,CH4020,PH4020,Junior
S018,CH3500,PH3500,Junior
S019,CH3500,PH4020,Junior
S020,CH3500,PH3500,Junior
S021,CH4020,PH4020,Junior
S022,CH3500,PH3500,Junior
S023,CH4020,PH4020,Junior
S024,CH4020,PH3500,Junior
S025,CH4020,PH3500,Junior
S026,CH3500,PH3500,Junior
S027,CH4020,PH4020,Junior
S028,CH4020,PH4020,Junior
S029,CH3500,PH3500,Junior
S030,CH4020,PH3500,Junior
S031,CH4020,PH4020,Junior
S032,CH4020,PH3500,Junior
S033,CH4020,PH3500,Junior
S034,CH3500,PH3500,Junior
S035,CH4020,PH3500,Junior
S036,CH4020,PH4020,Junior
S037,EXEMPT,PH4020,Junior
S038,CH4120,PH4020,Junior
S039,CH3500,PH4020,Junior
S040,CH3500,PH3500,Junior
S041,CH4020,PH4020,Junior
S042,CH4020,PH3500,Junior
S043,CH4020,PH4240,Junior
S044,CH4020,PH4020,Junior
S045,CH4020,PH4020,Junior
S046,CH3500,PH3500,Junior
S047,CH4120,PH4020,Junior
S048,CH4020,PH3500,Junior
S049,CH4020,PH4020,Junior
S050,CH4020,PH4020,Junior
S051,CH3500,PH3500,Junior
S052,CH3500,PH3500,Junior
S053,CH4020,PH4020,Junior
S054,CH4020,PH4020,Junior
S056,CH4020,PH3500,Junior
S057,CH3500,PH3500,Junior
S058,CH4020,PH4020,Junior
S059,CH4020,PH3500,Junior
S060,CH4020,PH4020,Junior
S061,CH4120,PH4020,Junior
S062,CH3500,PH4020,Junior
S063,CH3500,PH3500,Junior
S064,CH4020,PH3500,Junior
S065,CH4120,PH4020,Junior
S066,CH4020,PH3500,Junior
S067,CH4020,PH3500,Junior
S068,CH4020,PH4020,Junior
S069,CH4020,PH3500,Junior
S070,CH4020,PH4020,Junior
S071,CH4020,PH3500,Junior
S072,CH4020,PH4020,Junior
S073,CH4020,PH4020,Junior
S074,CH4020,PH4020,Junior
S075,CH4020,PH4020,Junior
S076,CH3500,PH4020,Junior
S077,CH3500,PH3500,Junior
S078,CH4020,PH3500,Junior
S079,CH4020,PH3500,Junior
S080,CH4020,PH4240,Junior
S081,CH4020,PH4020,Junior
S082,CH4020,PH3500,Junior
S083,CH4020,PH4020,Junior
S084,CH3500,PH3500,Junior
S085,CH4020,PH3500,Junior
S086,CH4020,PH3500,Junior
S087,CH4020,PH3500,Junior
S088,CH4020,PH4020,Junior
S089,CH4020,PH3500,Junior
S090,CH4020,PH3500,Junior
S091,CH4020,PH3500,Junior
S093,CH4020,PH3500,Junior
S094,CH4020,PH3500,Junior
S095,CH4020,PH3500,Junior
S096,CH3500,PH3500,Junior
S097,CH3500,PH3500,Junior
S098,CH4020,PH4020,Junior
S099,CH4020,PH3500,Junior
S100,CH3500,PH3500,Junior
S102,CH4020,PH4240,Junior
S103,CH3500,PH3500,Junior
S104,CH4020,PH3500,Junior
S105,CH4020,PH4020,Junior
S106,CH4120,PH4020,Junior
S107,CH4020,PH3500,Junior
S108,CH4020,PH3500,Junior
S109,CH3500,PH3500,Junior
S110,CH4020,PH4020,Junior
S111,CH4020,PH4020,Junior
S112,CH4020,PH4020,Junior
S113,CH4020,PH4240,Junior
S114,CH4020,PH4240,Junior
S115,CH3500,PH3500,Junior
S116,CH3500,,Junior
S117,CH4020,PH3500,Junior
S118,CH4020,PH4020,Junior
S119,CH4020,PH3500,Junior
S120,CH4020,PH4020,Junior
S121,CH4020,PH4020,Junior
S122,CH4020,PH4020,Junior
S123,CH4020,PH3500,Junior
S124,CH4020,PH4020,Junior
S125,CH4020,PH4020,Junior
S126,CH4120,PH3500,Junior
S127,CH3500,PH3500,Junior
S128,CH4120,PH4020,Junior
S129,CH3500,PH4020,Junior
S130,CH4020,PH4020,Junior
S131,CH4020,PH4020,Junior
S132,CH4020,PH4020,Junior
S133,CH4120,PH4020,Junior
S134,CH4020,PH4020,Junior
S135,CH3500,PH3500,Junior
S136,CH4020,PH4020,Junior
S137,CH3500,PH4020,Junior
S138,CH4020,PH4020,Junior
S139,CH4120,PH4020,Junior
S140,CH4020,PH4020,Junior
S141,CH4020,Exempt,Junior
S142,CH4020,PH3500,Junior
S143,CH4020,PH3500,Junior
S144,CH4020,PH4020,Junior
S145,CH4120,PH4020,Junior
S146,CH4020,PH3500,Junior
S147,CH3500,PH3500,Junior
S148,CH4020,PH4020,Junior
S149,CH4020,PH4020,Junior
S150,CH4020,PH4020,Junior
S151,CH3500,PH4020,Junior
S152,CH4020,PH4020,Junior
S153,CH4020,PH4020,Junior
S154,CH3500,PH3500,Junior
S155,CH4020,PH4020,Junior
S156,CH4020,PH4020,Junior
S157,CH4020,PH4020,Junior
S158,CH4020,PH4020,Junior
S159,CH4020,PH4020,Junior
S160,CH4120,PH3500,Junior
S161,CH4020,PH3500,Junior
S162,CH3500,PH3500,Junior
S163,CH4020,PH4020,Junior
S164,CH4020,PH4020,Junior
S165,CH4020,PH3500,Junior
S166,CH3500,PH3500,Junior
S167,CH4020,PH4020,Junior
S168,CH4020,PH3500,Junior
S169,CH3500,PH4020,Junior
S170,CH4020,PH4020,Junior
S171,CH4120,PH4020,Junior
S172,CH4020,PH4020,Junior
S173,CH4020,PH4020,Junior
S174,CH4020,PH3500,Junior
S175,CH4020,PH4020,Junior
S176,CH3500,PH4020,Junior
S177,CH3500,PH4020,Junior
S178,CH4120,PH4020,Junior
S179,CH4020,PH4020,Junior
S180,CH3500,PH3500,Junior
S181,CH4020,PH3500,Junior
S182,CH4020,PH4020,Junior
S183,CH3500,PH4020,Junior
S184,CH4020,PH4020,Junior
S185,CH4020,PH4020,Junior
